date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
21-05-2014,0,460,2079640,1.6,246540,27634.2921,0.000714107
22-05-2014,0,347,1371470,2.1,132918,23625.79032,0.000468826
23-05-2014,0,477,1816200,2.96,266852,22666.10915,0.00065722
24-05-2014,0,661,2653720,3.7,248028,23167.79561,0.000911483
25-05-2014,0,1026,3774890,3.14,283545,24975.83734,0.002842246
26-05-2014,0,1486,3070190,3.02,220148,20133.31372,0.002369143
27-05-2014,0,1985,2958060,2.21,97603,21236.72835,0.014979522
28-05-2014,0,2084,2231880,2.27,177716,21302.62089,3.047462127
29-05-2014,0,1341,2251030,1.68,109157,24305.33414,4.991315572
30-05-2014,0,1862,1742630,1.57,119296,20042.84867,6.118662085
31-05-2014,0,1396,1675440,1.94,117399,23352.4412,5.735233278
01-06-2014,0,1071,2111850,1.74,130602,26268.47251,5.123800701
02-06-2014,0,1150,1964820,1.73,47672,23103.37802,5.492296209
03-06-2014,0,1493,1966370,1.93,91332,22811.01286,8.260069489
04-06-2014,0,2084,2238440,1.81,51886,23083.0254,11.75276698
06-06-2014,0,2582,1781530,1.24,100635,21992.63953,14.36780234
07-06-2014,0,3056,1523430,1.36,44187,22828.08386,16.7579042
08-06-2014,0,2156,1702900,1.34,40634,22557.92489,12.43806207
09-06-2014,0,2434,1697580,1.52,56500,22983.89431,13.62880468
10-06-2014,0,2661,1917820,1.73,182599,22759.2689,14.52682178
11-06-2014,0,2927,2279840,1.62,85735,25117.26967,15.90745348
12-06-2014,0,3051,2174900,1.74,108619,20798.12664,18.72654042
13-06-2014,0,4588,2257650,1.92,84237,23517.48058,28.93636832
14-06-2014,0,5478,2677530,2.34,276919,23229.98153,34.6814071
15-06-2014,0,5432,3288170,2.69,150652,24260.11013,42.22909664
16-06-2014,0,5401,3905660,3.18,438776,21016.37518,36.44328685
17-06-2014,0,4876,4601540,2.82,228445,24372.70395,38.03307048
18-06-2014,0,4042,4304890,2.79,183102,22836.01385,27.76413485
19-06-2014,0,3776,4188790,3.13,283962,23229.41125,78.47202806
20-06-2014,0,4074,4844000,4.56,543764,24146.94845,29.07464188
21-06-2014,0,2658,6730580,5.01,723077,23271.11461,17.72557898
22-06-2014,0,3499,7853920,4.35,491984,24028.40037,23.57804058
23-06-2014,0,2780,6851250,3.98,433301,24286.17266,18.63501498
24-06-2014,0,3048,6374590,3.28,150995,22037.98903,21.55358742
25-06-2014,0,2742,5313820,3.39,217183,22458.06084,18.8722521
26-06-2014,0,2403,5471230,2.89,117740,22474.35119,16.52023988
27-06-2014,0,2319,5044180,2.2,250643,23332.89996,15.88710408
28-06-2014,0,2088,3997740,2.55,184970,23130.20597,14.47110318
29-06-2014,0,1791,4434960,2.54,138511,22606.87799,12.51841844
30-06-2014,0,1846,4484350,2.5,124575,23359.33348,12.92732139
01-07-2014,0,1998,4470350,2.35,98540,23124.90864,13.90850876
02-07-2014,0,1901,4225600,2.31,101095,23221.58357,13.40703196
03-07-2014,0,1774,4217730,2.64,168532,22222.86465,13.00758821
04-07-2014,0,1878,4899760,2.64,148555,22959.3782,13.46675651
05-07-2014,0,1788,4956910,2.47,68525,22981.9612,12.88287233
06-07-2014,0,1618,4690900,2.4,77663,23276.08672,11.36247462
07-07-2014,0,1678,4609840,1.99,111370,22160.75498,12.03091507
08-07-2014,0,1915,3851290,2.35,94993,22060.17493,13.49008188
09-07-2014,0,1850,4518280,2.01,69554,22466.68083,13.40327299
10-07-2014,0,1671,4033590,1.89,89099,22490.17433,12.21899019
11-07-2014,0,1570,3746700,1.79,116666,22602.02235,11.9782542
12-07-2014,0,1760,3648870,1.73,65375,22269.19298,13.5578125
13-07-2014,0,1401,3562450,1.79,122049,22542.06365,10.55648998
14-07-2014,0,1754,3716450,1.97,100284,22307.80012,43.49807593
15-07-2014,0,1538,4096760,2.11,136205,22140.78512,12.03321855
16-07-2014,0,1950,4585570,2.71,353430,22401.89781,14.10132232
17-07-2014,0,2417,5804450,2.98,503684,23117.74338,17.68281798
18-07-2014,0,2603,6577180,2.62,348336,22873.2403,35.18443736
19-07-2014,0,2186,5680000,2.88,169471,22308.88435,16.72111911
20-07-2014,0,1905,6372740,2.63,116853,22320.75822,14.35546413
21-07-2014,0,1944,5978470,3.09,243140,22368.54917,14.6611444
22-07-2014,0,2153,6966760,3.2,262049,21916.32902,33.55505617
23-07-2014,0,2105,7296220,2.91,274946,22393.25456,16.08225916
24-07-2014,0,2243,6717400,2.36,292547,22555.1378,17.236004
25-07-2014,0,2101,5500730,2.71,182887,21561.14172,20.66669282
26-07-2014,0,2156,6327920,2.62,125320,22395.70464,19.79563701
27-07-2014,0,1958,6211480,2.55,111827,22185.30216,14.50468112
28-07-2014,0,2008,6102470,2.7,141903,21765.86897,21.36911169
29-07-2014,0,2138,6507970,2.62,272756,21998.42306,20.61179825
30-07-2014,0,2492,6374650,2.54,79830,22311.26727,18.37153732
31-07-2014,0,2222,6187770,2.55,111065,21544.41553,16.34219509
01-08-2014,0,2118,6361190,2.67,145177,22513.06718,23.10583841
02-08-2014,0,1822,6665580,2.5,101031,21707.00293,15.60924752
03-08-2014,0,1667,6295750,2.36,144327,21396.6774,12.3562553
04-08-2014,0,1687,5992660,2.01,234647,21796.57198,12.09013295
05-08-2014,0,1944,5154370,2.15,94391,21605.00077,14.40560921
06-08-2014,0,1560,5698660,2.19,76411,21708.92924,11.41724751
